match_id,date,league,home_team,away_team,city,venue,broadcaster,time_slot,viewership_tv_millions,viewership_digital_millions,social_buzz_volume,sentiment_score,brand_recall_score,ad_integration_score,on_screen_time_seconds,sponsor_category,ad_format,sponsor_spend_crores_inr,sponsor_value_est_crores_inr,roi_estimated
IPL2018-00001,28-04-2018,IPL,Chennai Super Kings,Gujarat Titans,Lucknow,Eden Gardens,Viacom18 / JioCinema,Afternoon,2.83,2.42,310652,0.455,95,0.992,1720,Consumer Goods,LED perimeter,3.5,30.72,7.78
IPL2018-00002,13-04-2018,IPL,Gujarat Titans,Kolkata Knight Riders,Mumbai,Eden Gardens,DD Sports,Afternoon,3.03,2.65,353036,0.275,95,0.487,4076,Fintech,Jersey sleeve,4.6,26.25,4.71
IPL2018-00003,11-04-2018,IPL,Lucknow Super Giants,Kolkata Knight Riders,Mumbai,IS Bindra Stadium,Viacom18 / JioCinema,Late,5.41,4.46,558562,0.558,95,0.461,1538,Fintech,Jersey sleeve,1.67,48.51,28.05
IPL2018-00004,11-04-2018,IPL,Sunrisers Hyderabad,Punjab Kings,Mumbai,BRSABV Ekana Stadium,Viacom18 / JioCinema,Prime,7.36,9.46,779578,0.525,95,0.658,2547,Consumer Goods,Jersey sleeve,1.69,104.45,60.8
IPL2018-00005,04-06-2018,IPL,Lucknow Super Giants,Kolkata Knight Riders,Ahmedabad,Rajiv Gandhi Intl. Stadium,DD Sports,Prime,7.39,7.83,642260,0.428,95,0.832,3711,Gaming,LED perimeter,3.15,95.38,29.28
IPL2018-00006,06-05-2018,IPL,Sunrisers Hyderabad,Royal Challengers Bengaluru,Chandigarh,Rajiv Gandhi Intl. Stadium,DD Sports,Afternoon,2.94,2.87,278606,0.233,95,0.758,2304,Fintech,On-ground signage,3.29,30.01,8.12
IPL2018-00007,07-04-2018,IPL,Mumbai Indians,Rajasthan Royals,Hyderabad,BRSABV Ekana Stadium,DD Sports,Afternoon,3.1,1.54,317190,0.487,95,0.964,2894,Beverages,LED perimeter,2.17,28.88,12.31
IPL2018-00008,30-04-2018,IPL,Mumbai Indians,Punjab Kings,Lucknow,Wankhede Stadium,Star Sports,Afternoon,2.56,2.25,300655,0.387,95,0.886,1846,Telecom,Jersey sleeve,3.44,28.5,7.28
IPL2018-00009,22-04-2018,IPL,Chennai Super Kings,Punjab Kings,Jaipur,IS Bindra Stadium,Viacom18 / JioCinema,Afternoon,2.12,3.7,342335,0.385,95,0.744,624,Consumer Goods,On-ground signage,3.36,30.74,8.15
IPL2018-00010,20-03-2018,IPL,Delhi Capitals,Sunrisers Hyderabad,Kolkata,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,8.54,8.95,983991,0.442,95,0.617,1806,EdTech,LED perimeter,8.31,111.51,12.42
