id,date,team1,team2,venue,winner,day_of_week,team1_rank,team2_rank,weather_temp,weather_rain,ticket_price_avg,historical_avg_attendance,ticket_price_min,ticket_price_max,tickets_sold,dynamic_pricing_flag,holiday_flag,ad_spend,social_media_mentions,search_trends_index,promotion_flag,past_30d_avg_sales,expected_attendance,actual_attendance,venue_capacity,traffic_index,special_event_flag,time_of_day
1,05-04-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Wednesday,4,6,33.0,2.0,415,47531,290,622,52033,0,0,171958,19360,81,0,43639,43419,41388,62134,3,1,Day
2,06-04-2017,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Thursday,6,7,29.0,1.0,305,37664,213,457,33878,1,0,196867,18680,26,1,30561,37804,38404,54136,4,0,Day
3,07-04-2017,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Friday,7,6,23.0,0.0,624,30535,436,936,29625,0,0,181932,7229,94,1,25496,28576,28668,35806,4,0,Night
4,08-04-2017,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,Saturday,7,7,33.0,1.0,944,49752,660,1416,46837,1,1,153694,17509,99,0,43244,54435,52275,63086,2,0,Night
5,08-04-2017,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Saturday,6,5,34.0,0.0,913,29374,639,1369,28840,0,1,169879,16147,23,1,30633,27102,26214,42152,1,1,Night
6,09-04-2017,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunday,7,4,20.0,1.0,587,53475,410,880,54999,0,1,160268,5632,25,0,47209,52444,52800,64483,1,0,Day
7,09-04-2017,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Sunday,6,6,,,740,30242,518,1110,28790,0,1,104886,7288,77,0,27838,31680,31034,43229,8,1,Night
8,10-04-2017,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,Monday,6,7,26.0,2.0,332,21484,232,498,21606,0,0,187337,4596,41,1,18240,22362,23342,39864,2,1,Night
9,11-04-2017,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Tuesday,5,7,22.0,0.0,440,46032,308,660,40159,0,0,137498,12475,45,0,43854,45320,46764,65614,5,1,Night
10,12-04-2017,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Wednesday,4,6,,,626,28006,438,939,24439,0,0,162727,7168,22,1,24370,27146,28458,36338,4,1,Night
