match_id,date,home_team,away_team,tournament_phase,day_of_week,time_slot,city,broadcaster,past_viewership_avg_millions,viewership_tv_millions,viewership_digital_millions,total_viewership_millions,marquee_match,rivalry_match,weather_rain,ad_inventory_price_lakhs
IPL2018-00001,28-04-2018,Delhi Capitals,Lucknow Super Giants,Eliminator,Saturday,Afternoon,Hyderabad,DD Sports,3.7,3.65,3.09,6.74,0,0,0,34.27
IPL2018-00002,13-04-2018,Mumbai Indians,Lucknow Super Giants,League,Friday,Late,Chandigarh,JioCinema,4.77,5.18,4.11,9.29,0,0,0,38.57
IPL2018-00003,11-04-2018,Royal Challengers Bangalore,Punjab Kings,League,Wednesday,Afternoon,Hyderabad,Star Sports,3.68,3.88,3.37,7.25,0,0,0,28.81
IPL2018-00004,11-04-2018,Royal Challengers Bangalore,Punjab Kings,League,Wednesday,Late,Jaipur,DD Sports,5.52,5.83,4.75,10.58,0,0,0,42.54
IPL2018-00005,04-06-2018,Punjab Kings,Mumbai Indians,League,Monday,Late,Hyderabad,Star Sports,4.72,4.73,5.51,10.24,0,0,0,48.05
IPL2018-00006,06-05-2018,Delhi Capitals,Lucknow Super Giants,League,Sunday,Afternoon,Mumbai,DD Sports,4.02,3.82,2.8,6.62,0,0,0,30.75
IPL2018-00007,07-04-2018,Gujarat Titans,Lucknow Super Giants,League,Saturday,Late,Chandigarh,Star Sports,5.77,6.03,6.16,12.19,0,0,0,52.33
IPL2018-00008,30-04-2018,Mumbai Indians,Delhi Capitals,League,Monday,Late,Chandigarh,DD Sports,6.05,5.24,6.77,12.01,0,0,0,57.96
IPL2018-00009,22-04-2018,Rajasthan Royals,Delhi Capitals,Qualifier,Sunday,Afternoon,Kolkata,Star Sports,3.17,4.51,2.78,7.29,0,0,0,35.93
IPL2018-00010,20-03-2018,Mumbai Indians,Chennai Super Kings,League,Tuesday,Late,Mumbai,DD Sports,8.43,7.32,9.15,16.47,1,0,0,68.6
IPL2018-00011,29-03-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,League,Thursday,Prime,Chandigarh,Star Sports,11.02,9.64,10.72,20.36,0,0,0,154.62
IPL2018-00012,23-04-2018,Sunrisers Hyderabad,Lucknow Super Giants,League,Monday,Late,Lucknow,JioCinema,5.18,5.72,5.02,10.74,0,0,0,45.76
IPL2018-00013,30-05-2018,Mumbai Indians,Kolkata Knight Riders,League,Wednesday,Prime,Jaipur,DD Sports,12.12,11.7,12.93,24.63,1,0,0,163.98
IPL2018-00014,11-04-2018,Chennai Super Kings,Mumbai Indians,League,Wednesday,Prime,Chandigarh,DD Sports,12.44,12.43,12.27,24.7,1,1,0,202.44
IPL2018-00015,05-04-2018,Delhi Capitals,Mumbai Indians,Qualifier,Thursday,Late,Chennai,JioCinema,5.65,5.29,5.83,11.12,0,0,0,56.83
IPL2018-00016,19-04-2018,Sunrisers Hyderabad,Rajasthan Royals,League,Thursday,Afternoon,Chandigarh,JioCinema,4.3,4.14,4.06,8.2,0,0,0,35.48
IPL2018-00017,04-04-2018,Royal Challengers Bangalore,Delhi Capitals,League,Wednesday,Prime,Ahmedabad,DD Sports,9.56,9.52,10.41,19.93,0,0,0,137.9
IPL2018-00018,10-04-2018,Sunrisers Hyderabad,Kolkata Knight Riders,League,Tuesday,Afternoon,Lucknow,DD Sports,3.76,2.96,4.02,6.98,0,0,0,33.54
IPL2018-00019,16-04-2018,Gujarat Titans,Royal Challengers Bangalore,League,Monday,Late,Lucknow,JioCinema,5.87,5.8,5.26,11.06,0,0,0,46.49
IPL2018-00020,29-03-2018,Mumbai Indians,Gujarat Titans,Semi-Final,Thursday,Late,Lucknow,JioCinema,7.93,7.54,9.02,16.56,0,0,0,84.44
IPL2018-00021,08-05-2018,Gujarat Titans,Lucknow Super Giants,League,Tuesday,Prime,Bengaluru,Star Sports,8.6,8.02,9.23,17.25,0,0,0,113.24
IPL2018-00022,27-03-2018,Delhi Capitals,Mumbai Indians,League,Tuesday,Prime,Hyderabad,Star Sports,7.7,7.84,8.67,16.51,0,0,0,128.34
IPL2018-00023,26-03-2018,Kolkata Knight Riders,Mumbai Indians,League,Monday,Late,Lucknow,Star Sports,7.33,6.56,8.24,14.8,1,0,0,68.44
IPL2018-00024,21-04-2018,Chennai Super Kings,Punjab Kings,Qualifier,Saturday,Prime,Lucknow,DD Sports,10.66,9.71,10.87,20.58,0,0,0,167.59
IPL2018-00025,05-05-2018,Lucknow Super Giants,Punjab Kings,Qualifier,Saturday,Prime,Kolkata,JioCinema,9.75,8.52,11.14,19.66,0,0,0,177.37
IPL2018-00026,20-04-2018,Kolkata Knight Riders,Sunrisers Hyderabad,League,Friday,Afternoon,Lucknow,Star Sports,3.13,4.38,2.09,6.47,0,0,0,33.7
IPL2018-00027,14-04-2018,Mumbai Indians,Gujarat Titans,League,Saturday,Prime,Mumbai,JioCinema,8.02,8,9.04,17.04,0,0,0,119.54
IPL2018-00028,10-04-2018,Mumbai Indians,Punjab Kings,League,Tuesday,Afternoon,Kolkata,JioCinema,2.11,3.25,2.52,5.77,0,0,0,28.08
IPL2018-00029,07-04-2018,Gujarat Titans,Delhi Capitals,Semi-Final,Saturday,Prime,Lucknow,JioCinema,13.54,11.41,15.12,26.53,0,0,0,228.22
IPL2018-00030,15-05-2018,Delhi Capitals,Rajasthan Royals,League,Tuesday,Prime,Kolkata,JioCinema,9.46,9.34,9.66,19,0,0,0,120.3
IPL2018-00031,24-04-2018,Gujarat Titans,Mumbai Indians,League,Tuesday,Late,Delhi,Star Sports,4.67,5.54,4.84,10.38,0,0,0,41.17
IPL2018-00032,08-04-2018,Punjab Kings,Delhi Capitals,League,Sunday,Afternoon,Mumbai,JioCinema,2.37,2.62,3.22,5.84,0,0,0,22.17
IPL2018-00033,03-04-2018,Sunrisers Hyderabad,Punjab Kings,League,Tuesday,Afternoon,Jaipur,JioCinema,3.43,3.66,2.72,6.38,0,0,0,29.06
IPL2018-00034,01-05-2018,Lucknow Super Giants,Kolkata Knight Riders,Eliminator,Tuesday,Prime,Delhi,DD Sports,10.24,9.46,11.07,20.53,0,0,0,183.17
IPL2018-00035,14-05-2018,Kolkata Knight Riders,Rajasthan Royals,League,Monday,Late,Ahmedabad,DD Sports,5.22,5.49,5.28,10.77,0,0,0,52.31
IPL2018-00036,11-05-2018,Sunrisers Hyderabad,Chennai Super Kings,League,Friday,Late,Lucknow,JioCinema,6.66,5.92,7.58,13.5,0,0,0,54.79
IPL2018-00037,01-04-2018,Gujarat Titans,Kolkata Knight Riders,Qualifier,Sunday,Afternoon,Chennai,JioCinema,2.82,2.420004039,3.440399564,5.86,0,0,1,31.51
